LogReg_1	LogReg_2	LogReg_3	LogReg_4	LogReg_5	LogReg_6	LogReg_7	LogReg_8	LogReg_9	LogReg_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.9177149299088324	0.9331144005489658	0.9101819999999999	0.9100705813155572	0.8846015096559161	0.8766993432016467	0.921084207430644	0.8918713851583178	0.9113675129889226	0.8835908244289774
0.0019826179209533265	0.0026388178554339363	0.0023450108741752086	0.0031591294626760924	0.003141948395699758	0.0032309134602801384	0.0020762836948327998	0.003093078090448373	0.0025843779588415224	0.0042301221664937634
0.00019826179209533266	0.0002638817855433936	0.00023450108741752086	0.00031591294626760925	0.0003141948395699758	0.0003230913460280138	0.00020762836948327998	0.0003093078090448373	0.00025843779588415224	0.00042301221664937634
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.9242008748295099	0.9372496944558444	0.9192404328648992	0.9034487625094879	0.8884118909146046	0.8804631866482616	0.9275175197111212	0.9104068810114556	0.9175641632496776	0.8811259396693971
0.0019862702046834955	0.0029615566708323248	0.002283821086222242	0.003980184019752389	0.0031713143858707626	0.0036091002428774686	0.0020268206562638912	0.002693517698130602	0.002433350495335799	0.005741484208438756
0.00019862702046834956	0.0002961556670832325	0.0002283821086222242	0.00039801840197523894	0.0003171314385870763	0.0003609100242877469	0.00020268206562638912	0.00026935176981306017	0.00024333504953357992	0.0005741484208438756
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.8414356435643565	0.8655940594059405	0.8390499999999999	0.8115841584158417	0.7983663366336632	0.7971782178217822	0.8500000000000001	0.7872772277227722	0.8142574257425744	0.8040099009900991
0.004109507292992405	0.005703821099902437	0.006880951969022897	0.006485715340658311	0.008309019197210086	0.006433929703247524	0.008979384726345083	0.006201174346695152	0.006434881904662106	0.007278911369862974
0.00041095072929924045	0.0005703821099902437	0.0006880951969022897	0.0006485715340658311	0.0008309019197210085	0.0006433929703247524	0.0008979384726345083	0.0006201174346695152	0.0006434881904662105	0.0007278911369862975
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.8436698669652323	0.858873981925887	0.8394535199103055	0.8300242393688921	0.8100920524670795	0.803187900803704	0.8434423722837998	0.7969613710642705	0.8153330555980017	0.8122024107960674
0.004051171092081335	0.005718309586204434	0.006560336068942021	0.005447894055365402	0.006698256730306442	0.005513967026496785	0.009278019416453768	0.00569619633757101	0.005849285945697429	0.007275210434017156
0.0004051171092081335	0.0005718309586204434	0.0006560336068942021	0.0005447894055365403	0.0006698256730306442	0.0005513967026496785	0.0009278019416453767	0.000569619633757101	0.0005849285945697429	0.0007275210434017157
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.8319824372463366	0.9042324579628915	0.8374704769480108	0.7561178335705931	0.7658250370762556	0.7802211124576841	0.8821253786120162	0.7623042669477375	0.8107767492586988	0.779602107790098
0.00570809170054722	0.009764489443330337	0.009057390735097143	0.0070767582535449175	0.010970349878226239	0.008870566319476962	0.01227834153794252	0.006711149219783141	0.009023019438543056	0.007101665994941587
0.0005708091700547221	0.0009764489443330337	0.0009057390735097143	0.0007076758253544917	0.0010970349878226238	0.0008870566319476962	0.001227834153794252	0.0006711149219783141	0.0009023019438543056	0.0007101665994941587
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8557425742574261	0.817920792079208	0.8414999999999998	0.9200000000000004	0.8599009900990099	0.8276237623762376	0.8081188118811882	0.8349504950495049	0.8199999999999998	0.8477227722772277
0.006605526259057799	0.006699832542858242	0.0069821200218844765	0.006519634706199734	0.005666100565475053	0.005956249997106946	0.011094411744816958	0.006424972112042626	0.0058373873160331045	0.010916262536505135
0.0006605526259057799	0.0006699832542858242	0.0006982120021884477	0.0006519634706199734	0.0005666100565475053	0.0005956249997106945	0.0011094411744816959	0.0006424972112042626	0.0005837387316033105	0.0010916262536505134
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.1728712871287128	0.0867326732673267	0.1634	0.29683168316831676	0.26316831683168324	0.2332673267326733	0.10811881188118813	0.2603960396039605	0.19148514851485146	0.23970297029702978
0.007332082606563803	0.009813474608605042	0.01050904372433572	0.011112069581463921	0.016098169573625868	0.012152028508963372	0.012576985749069639	0.00880019249239168	0.011044819617730172	0.009319035734289206
0.0007332082606563803	0.0009813474608605043	0.0010509043724335721	0.001111206958146392	0.0016098169573625868	0.0012152028508963372	0.0012576985749069639	0.0008800192492391679	0.0011044819617730172	0.0009319035734289205
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.14425742574257425	0.18207920792079205	0.1585	0.07999999999999999	0.14009900990099008	0.1723762376237623	0.19188118811881186	0.165049504950495	0.17999999999999994	0.15227722772277225
0.006605526259057788	0.0066998325428582845	0.0069821200218844765	0.006519634706199732	0.005666100565475043	0.005956249997106936	0.011094411744816984	0.006424972112042625	0.00583738731603314	0.010916262536505125
0.0006605526259057788	0.0006699832542858285	0.0006982120021884477	0.0006519634706199732	0.0005666100565475043	0.0005956249997106937	0.0011094411744816985	0.0006424972112042625	0.000583738731603314	0.0010916262536505125
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
86.43	82.61	84.15	92.92	86.85	83.59	81.62	84.33	82.82	85.62
0.6671581521648372	0.6766830868286867	0.698212002188447	0.658483105326173	0.5722761571129799	0.6015812497078014	1.1205355862265152	0.6489221833163048	0.589576118919347	1.1025425161870177
0.06671581521648372	0.06766830868286867	0.0698212002188447	0.0658483105326173	0.05722761571129799	0.06015812497078014	0.11205355862265151	0.06489221833163047	0.0589576118919347	0.11025425161870177
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
83.54	92.24	83.66	71.02	74.42	77.44	90.08	74.7	81.66	76.79
0.7405403432629448	0.9911609354691092	1.050904372433572	1.1223190277278559	1.6259151269362124	1.2273548794053006	1.2702755606560334	0.8888194417315589	1.1155267813907472	0.9412226091632097
0.07405403432629448	0.09911609354691092	0.1050904372433572	0.11223190277278558	0.16259151269362124	0.12273548794053006	0.12702755606560334	0.0888819441731559	0.11155267813907473	0.09412226091632096
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
17.46	8.76	16.34	29.98	26.58	23.56	10.92	26.3	19.34	24.21
0.7405403432629447	0.9911609354691094	1.050904372433572	1.122319027727856	1.6259151269362124	1.2273548794053006	1.2702755606560334	0.8888194417315587	1.1155267813907472	0.9412226091632095
0.07405403432629447	0.09911609354691095	0.1050904372433572	0.11223190277278561	0.16259151269362124	0.12273548794053006	0.12702755606560334	0.08888194417315587	0.11155267813907473	0.09412226091632095
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
14.57	18.39	15.85	8.08	14.15	17.41	19.38	16.67	18.18	15.38
0.6671581521648371	0.6766830868286867	0.6982120021884469	0.6584831053261732	0.5722761571129799	0.6015812497078014	1.1205355862265154	0.6489221833163048	0.5895761189193471	1.1025425161870177
0.0667158152164837	0.06766830868286867	0.06982120021884469	0.06584831053261732	0.05722761571129799	0.06015812497078014	0.11205355862265154	0.06489221833163047	0.058957611891934714	0.11025425161870177
