SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.853948632487011	0.8632663464366239	0.8694630000000001	0.8089638270757769	0.8447779629448096	0.8424272130183316	0.8617410057837467	0.8277972747769827	0.8487961964513285	0.7363415351436133
0.004817268047666131	0.006995116482734214	0.007554053944737226	0.010278768655680632	0.0039645475042663315	0.004489327808996732	0.004555008226387254	0.007418937495649005	0.005294093420877333	0.010550883890774042
0.0004817268047666131	0.0006995116482734214	0.0007554053944737226	0.0010278768655680632	0.00039645475042663313	0.0004489327808996732	0.0004555008226387254	0.0007418937495649005	0.0005294093420877332	0.0010550883890774042
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8716377100325273	0.8693994583721593	0.8749670772675259	0.8149206404903845	0.8466359472380259	0.848469664944855	0.8816341316841814	0.8511600884053108	0.8629264784262141	0.7237417082329851
0.0055320033423684216	0.006641395462492567	0.007661686002678506	0.010333051482571617	0.004527553419647992	0.005484216703917508	0.004363904859921831	0.006960858020312145	0.004524682650891695	0.01222729090253063
0.0005532003342368422	0.0006641395462492568	0.0007661686002678506	0.0010333051482571617	0.0004527553419647992	0.0005484216703917508	0.00043639048599218306	0.0006960858020312145	0.0004524682650891695	0.001222729090253063
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.755841584158416	0.7867821782178218	0.76505	0.7136138613861387	0.7518811881188117	0.7460891089108911	0.7746039603960397	0.7450000000000001	0.7451485148514851	0.662029702970297
0.007792274205921195	0.011075287532256877	0.012559757163257588	0.014857671978672209	0.01067012573394147	0.010739151711033835	0.00820812382555321	0.009535198364080769	0.008896578164053578	0.01364496896016011
0.0007792274205921195	0.0011075287532256878	0.0012559757163257588	0.001485767197867221	0.0010670125733941468	0.0010739151711033836	0.000820812382555321	0.0009535198364080769	0.0008896578164053579	0.001364496896016011
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7709869787197066	0.792691226248975	0.7919146621777011	0.7441199975189362	0.7691713545796312	0.7681490762211916	0.7858729808011661	0.7755132813580157	0.7680253646007784	0.7132604371602946
0.007750528316844435	0.010298694481422779	0.011148573788527218	0.012129517224282457	0.011280046620307764	0.0092959936516708	0.007006896655188883	0.008049234556187957	0.00719871136747117	0.010810191130911003
0.0007750528316844435	0.001029869448142278	0.0011148573788527217	0.0012129517224282456	0.0011280046620307763	0.00092959936516708	0.0007006896655188883	0.0008049234556187958	0.000719871136747117	0.0010810191130911002
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.7259529032458848	0.7715730033776255	0.7106922493713056	0.6727663116410864	0.718932704530928	0.7068897372113451	0.7486158330625632	0.6927043421848809	0.7049091083111767	0.6195370062487678
0.007272386754595912	0.013986977978550943	0.010577591741582465	0.014548755795509004	0.00830310461143106	0.010984498440683256	0.0099798921274124	0.00858395672976841	0.009551396673546375	0.01147746760656479
