SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.736057120046451	0.6537926404412832	0.7745383945420236	0.7132134562345769	0.7976694730730148	0.7530338220351286	0.7168003338655828	0.7545264189287267	0.7949488314704601	0.6545583538975178
0.006257887766581064	0.0077818162674497	0.005090609119090304	0.0071578831102171135	0.004605163883765602	0.005166034976975992	0.007790218040245952	0.007133027997990119	0.004511720457694515	0.01019145761154069
0.0006257887766581065	0.00077818162674497	0.0005090609119090304	0.0007157883110217114	0.0004605163883765602	0.0005166034976975992	0.0007790218040245952	0.0007133027997990118	0.00045117204576945155	0.001019145761154069
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.7078980495304954	0.6760713765371281	0.7829889251741986	0.7047546061903409	0.8059254323174487	0.7699489932567143	0.7267285574999575	0.7410803119902407	0.8056231441005692	0.6665684492919323
0.009050801677100626	0.008459883794658125	0.0053835028054773065	0.008317313803363322	0.005112532668550794	0.005712213430670922	0.00885624035250179	0.00938458182498812	0.0042283501467232434	0.01148182560077979
0.0009050801677100626	0.0008459883794658125	0.0005383502805477306	0.0008317313803363321	0.0005112532668550794	0.0005712213430670922	0.000885624035250179	0.000938458182498812	0.0004228350146723243	0.001148182560077979
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.6572891566265059	0.5493674698795181	0.7063855421686747	0.6377409638554217	0.6983132530120482	0.6425	0.6373795180722892	0.6596686746987953	0.7055421686746987	0.5048795180722891
0.009958725970933516	0.01119651687486745	0.008577517900044953	0.013482776925567624	0.009436127349012665	0.010405264238771021	0.01059706019208924	0.010585067621603867	0.008004571200902696	0.004080852904684322
0.0009958725970933516	0.001119651687486745	0.0008577517900044953	0.0013482776925567625	0.0009436127349012665	0.0010405264238771022	0.001059706019208924	0.0010585067621603867	0.0008004571200902696	0.00040808529046843216
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7010308240501637	0.6751513503575935	0.7352923754197138	0.7029379557261324	0.7398589940187851	0.7143717614856103	0.7017006374165394	0.7110103946829598	0.7549489245405439	0.6659667132138383
0.007649338586489444	0.006724144914702015	0.007520057319441202	0.009655058047740367	0.007893420621279096	0.0071405581146663875	0.007792327744415049	0.008182071258130237	0.005891380965908044	0.003400707252525223
0.0007649338586489445	0.0006724144914702015	0.0007520057319441201	0.0009655058047740367	0.0007893420621279095	0.0007140558114666388	0.0007792327744415049	0.0008182071258130237	0.0005891380965908045	0.0003400707252525223
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.6218064813461315	0.5278865773707757	0.6694462842185626	0.5958885418487917	0.6503487076497724	0.5948869700502797	0.5960720650551466	0.6179071613224293	0.6465652253365652	0.5024806952109429
0.00906481891657562	0.006589166540076497	0.007942757494552798	0.010646611064235069	0.007787068422691368	0.007849008650042674	0.008256524230692524	0.008838338272318134	0.007102749744547227	0.0020778298044489296
0.000906481891657562	0.0006589166540076497	0.0007942757494552798	0.001064661106423507	0.0007787068422691368	0.0007849008650042674	0.0008256524230692523	0.0008838338272318134	0.0007102749744547227	0.00020778298044489297
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8035542168674698	0.9365060240963855	0.8156024096385542	0.8571084337349397	0.858012048192771	0.8940361445783134	0.8529518072289157	0.837289156626506	0.9071084337349399	0.987168674698795
0.011394781742130527	0.011186667509822711	0.010939832015042391	0.014308465387280492	0.010751113530893376	0.009828512177258684	0.011143601389939964	0.011911727151084153	0.009531788195816137	0.00837566063673526
0.0011394781742130526	0.001118666750982271	0.001093983201504239	0.001430846538728049	0.0010751113530893376	0.0009828512177258684	0.0011143601389939964	0.0011911727151084153	0.0009531788195816137	0.000837566063673526
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.48897590361445786	0.8377710843373495	0.4028313253012048	0.5816265060240964	0.46138554216867467	0.6090361445783132	0.5781927710843373	0.5179518072289155	0.4960240963855421	0.9774096385542171
0.019221587968771606	0.02190742806145151	0.01375434583403034	0.025378181811601654	0.013739562739212991	0.019192207616956614	0.018742202133265468	0.01874220213326547	0.016214110293908273	0.0067821266561431965
0.0019221587968771606	0.002190742806145151	0.001375434583403034	0.0025378181811601653	0.0013739562739212992	0.0019192207616956613	0.0018742202133265468	0.0018742202133265472	0.0016214110293908273	0.0006782126656143196
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.19644578313253017	0.06349397590361446	0.18439759036144576	0.14289156626506025	0.14198795180722892	0.10596385542168676	0.14704819277108436	0.16271084337349395	0.09289156626506025	0.012831325301204817
0.011394781742130525	0.011186667509822707	0.010939832015042393	0.014308465387280502	0.010751113530893386	0.009828512177258686	0.011143601389939969	0.011911727151084153	0.009531788195816137	0.008375660636735257
0.0011394781742130526	0.0011186667509822707	0.0010939832015042393	0.0014308465387280502	0.0010751113530893387	0.0009828512177258687	0.0011143601389939969	0.0011911727151084153	0.0009531788195816137	0.0008375660636735256
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
133.39	155.46	135.39	142.28	142.43	148.41	141.59	138.99	150.58	163.87
1.8915337691936667	1.8569868066305697	1.8160121144970371	2.375205254288564	1.784684846128302	1.6315330214249417	1.8498378307300343	1.9773467070799697	1.582276840505479	1.3903596656980524
0.18915337691936668	0.18569868066305698	0.1816012114497037	0.23752052542885643	0.1784684846128302	0.16315330214249418	0.18498378307300342	0.19773467070799697	0.1582276840505479	0.13903596656980524
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
84.83	26.93	99.13	69.45	89.41	64.9	70.02	80.02	83.66	3.75
3.1907836028160856	3.6366330582009505	2.283221408449036	4.212778180725873	2.280767414709356	3.1859064644147983	3.1112055541220673	3.1112055541220673	2.6915423087887733	1.1258330249197703
0.3190783602816086	0.36366330582009504	0.2283221408449036	0.42127781807258724	0.22807674147093562	0.31859064644147983	0.31112055541220673	0.31112055541220673	0.26915423087887735	0.11258330249197704
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
81.17	139.07	66.87	96.55	76.59	101.1	95.98	85.98	82.34	162.25
3.1907836028160856	3.63663305820095	2.283221408449036	4.212778180725873	2.280767414709356	3.1859064644147983	3.1112055541220673	3.1112055541220673	2.6915423087887733	1.1258330249197703
0.3190783602816086	0.363663305820095	0.2283221408449036	0.42127781807258724	0.22807674147093562	0.31859064644147983	0.31112055541220673	0.31112055541220673	0.26915423087887735	0.11258330249197704
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
32.61	10.54	30.61	23.72	23.57	17.59	24.41	27.01	15.42	2.13
1.8915337691936667	1.8569868066305695	1.8160121144970371	2.375205254288564	1.7846848461283016	1.6315330214249422	1.8498378307300347	1.9773467070799697	1.5822768405054788	1.3903596656980524
0.18915337691936668	0.18569868066305695	0.1816012114497037	0.23752052542885643	0.17846848461283016	0.1631533021424942	0.18498378307300348	0.19773467070799697	0.15822768405054788	0.13903596656980524
