RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8044607345042823	0.8114751778197126	0.7968529539846131	0.8003672521410944	0.7501966903759617	0.7702362461895774	0.7622278269705327	0.8365539265495718	0.8103095514588476	0.8016852953984613
0.0038483485373669336	0.004237845830554752	0.003964509481368273	0.0039179160018732295	0.006101756854944443	0.004045889588152025	0.004611288734880397	0.0037917745938362457	0.004786327847924529	0.003939341226735469
0.00038483485373669334	0.00042378458305547523	0.0003964509481368273	0.00039179160018732297	0.0006101756854944443	0.00040458895881520247	0.0004611288734880397	0.0003791774593836246	0.0004786327847924529	0.00039393412267354686
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.798054345398993	0.7920997501451812	0.805256309676983	0.7959661879331772	0.7468748748813028	0.7603389852089992	0.7633841595061086	0.8521326014573886	0.77960297771604	0.8094972661906167
0.004843548932062161	0.00575639523442289	0.005313509398488427	0.004639926729667147	0.007510994817221014	0.006091284445323021	0.00529718489756845	0.003725469577063	0.005575787123119923	0.004782608505046233
0.0004843548932062161	0.000575639523442289	0.0005313509398488427	0.0004639926729667147	0.0007510994817221014	0.0006091284445323021	0.000529718489756845	0.00037254695770630003	0.0005575787123119922	0.0004782608505046233
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.7205722891566265	0.7346385542168674	0.6803614457831324	0.7080421686746986	0.6667168674698796	0.6665361445783133	0.6849096385542168	0.7437349397590362	0.7197289156626505	0.6752409638554218
0.009485369700280232	0.007661504422877651	0.007880752270608693	0.006911387264141469	0.012111093336155404	0.008029184952599383	0.008560736951792632	0.007734339202748936	0.008938985693826331	0.007540715437960865
0.0009485369700280232	0.0007661504422877651	0.0007880752270608693	0.0006911387264141469	0.0012111093336155403	0.0008029184952599383	0.0008560736951792632	0.0007734339202748936	0.0008938985693826331	0.0007540715437960865
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7540718436047303	0.7704286026496113	0.7334161054356721	0.7363410733245632	0.7215606071730325	0.7343955287048994	0.7265558872074388	0.7638485527780918	0.7642039248738799	0.7301294359987398
0.007809091374590959	0.006516625218371448	0.0059101687587006175	0.005774590096866791	0.009046744423776162	0.006168323340476573	0.007262793323339448	0.007340941410221717	0.007518558856858691	0.005942499128110543
0.0007809091374590959	0.0006516625218371448	0.0005910168758700618	0.0005774590096866791	0.0009046744423776163	0.0006168323340476573	0.0007262793323339448	0.0007340941410221717	0.0007518558856858691	0.0005942499128110543
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.6734385274689536	0.6788984473129248	0.6290691974358045	0.6713439760397553	0.6197939674694987	0.6102578303969952	0.6417791554592569	0.7082877462485844	0.6595702475885862	0.6245990150982749
0.008747942870981995	0.006479234546886561	0.0065225878934469924	0.007007494055780379	0.010491599054699652	0.005941710399746132	0.007236705420720522	0.00743503739162016	0.0070004604723375155	0.005844931314737725
0.0008747942870981995	0.0006479234546886561	0.0006522587893446993	0.0007007494055780379	0.001049159905469965	0.0005941710399746132	0.0007236705420720522	0.0007435037391620161	0.0007000460472337516	0.0005844931314737725
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8567469879518073	0.8905421686746987	0.8793373493975903	0.8153614457831324	0.8636746987951807	0.9220481927710842	0.8372289156626508	0.8289759036144579	0.9083734939759034	0.8786144578313254
0.010592136315216752	0.009334628441481417	0.008279791220931542	0.008661930026836387	0.017222068738061695	0.011581942186713505	0.010975764748569393	0.011770751373372204	0.011534060335799954	0.008188118806667581
0.0010592136315216753	0.0009334628441481417	0.0008279791220931542	0.0008661930026836387	0.0017222068738061696	0.0011581942186713505	0.0010975764748569392	0.0011770751373372205	0.0011534060335799954	0.0008188118806667581
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
