LogReg_1	LogReg_2	LogReg_3	LogReg_4	LogReg_5	LogReg_6	LogReg_7	LogReg_8	LogReg_9	LogReg_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8517863281250001	0.8107198796342735	0.7829769392033542	0.8081050781250001	0.7657695312499999	0.8319468749999999	0.8358172909995757	0.8029512750279696	0.8298823347864664	0.8346742023841672
0.002337516809086854	0.002920608501194263	0.003215142505893425	0.0029407213833749475	0.0034630464969501976	0.0017781782038393688	0.0018053670268115749	0.0016961014191792321	0.001937858160055366	0.0021321254807928455
0.0002337516809086854	0.0002920608501194263	0.00032151425058934253	0.00029407213833749477	0.00034630464969501976	0.00017781782038393687	0.00018053670268115748	0.0001696101419179232	0.0001937858160055366	0.00021321254807928454
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8449338642759088	0.8281902023422744	0.7831922457758422	0.8274004120436441	0.7921174913136714	0.8494202885620843	0.8437769661674471	0.8085822863160075	0.8165780813069152	0.8586287135404085
0.0029611022536865524	0.0032050008316265827	0.0033138160553383192	0.0034549935349555594	0.0035116701223449364	0.0017568479269612228	0.0019805455638170696	0.001558486619624954	0.0024162014859975918	0.0024687824861602194
0.00029611022536865525	0.0003205000831626583	0.0003313816055338319	0.00034549935349555594	0.00035116701223449363	0.0001756847926961223	0.00019805455638170695	0.0001558486619624954	0.0002416201485997592	0.00024687824861602194
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.7730312500000001	0.7246273291925466	0.7028616352201257	0.73778125	0.66009375	0.7090312499999999	0.7691304347826086	0.7198136645962734	0.7682298136645962	0.7802173913043479
0.005773305352005897	0.005344051878013977	0.004922061761307039	0.004962653492588421	0.0062477339642065385	0.004095896383882286	0.004030572567182015	0.004133585871298103	0.004295492490808275	0.0037229535953137937
0.0005773305352005897	0.0005344051878013978	0.0004922061761307039	0.0004962653492588421	0.0006247733964206538	0.0004095896383882286	0.00040305725671820156	0.0004133585871298103	0.00042954924908082746	0.00037229535953137936
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7890388525750448	0.7352297143504753	0.7441055617298189	0.7504515245228714	0.7174625698504058	0.7464712022290351	0.7863174420643135	0.7437777807287682	0.7712075052544182	0.7749503266339236
0.004970802852315105	0.005563513574836837	0.0039451925577210865	0.004701202793838519	0.004720213516826222	0.0031191700136872906	0.0036623854510360373	0.0038438388583464152	0.004167136557465165	0.003898780044041125
0.0004970802852315105	0.0005563513574836837	0.00039451925577210865	0.0004701202793838519	0.00047202135168262214	0.00031191700136872907	0.0003662385451036037	0.0003843838858346415	0.00041671365574651653	0.0003898780044041125
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.7371142177370794	0.7079670605864951	0.6534305105570338	0.7158788815757035	0.6138884353785944	0.6613937859028743	0.7318521614050705	0.6851821290189539	0.7614376425788246	0.7940017586605268
0.006386857122638078	0.005078190856608543	0.00426394277636423	0.0050861017399594834	0.005020852575337671	0.0038610450304970272	0.00413498890594549	0.003789817320851901	0.004646924951185489	0.005176861846130283
0.0006386857122638078	0.0005078190856608542	0.00042639427763642294	0.0005086101739959483	0.0005020852575337671	0.0003861045030497027	0.00041349889059454894	0.0003789817320851901	0.0004646924951185489	0.0005176861846130283
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8488749999999999	0.7647204968944099	0.8640251572327042	0.7885624999999998	0.863125	0.8566875	0.8495652173913045	0.8133540372670808	0.7812422360248447	0.756832298136646
0.005888282856656921	0.008438065936766076	0.005245448921256111	0.006315593301503815	0.006817945071647339	0.0037764690850052214	0.005239527132661629	0.005650125900205057	0.004613029721149609	0.005981788908154739
0.0005888282856656921	0.0008438065936766076	0.0005245448921256111	0.0006315593301503815	0.0006817945071647339	0.00037764690850052214	0.0005239527132661629	0.0005650125900205057	0.0004613029721149609	0.0005981788908154739
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.30281250000000004	0.3154658385093167	0.45830188679245276	0.31300000000000006	0.5429375000000001	0.43862500000000004	0.3113043478260869	0.37372670807453423	0.2447826086956522	0.1963975155279503
0.009616676595893199	0.0071520329936519585	0.00798791658941309	0.007271519786124489	0.01095641222070437	0.007362277161313606	0.006351216413000848	0.006025485014320946	0.005492242829568511	0.006441685546566047
0.0009616676595893198	0.0007152032993651958	0.000798791658941309	0.0007271519786124489	0.001095641222070437	0.0007362277161313606	0.0006351216413000848	0.0006025485014320946	0.000549224282956851	0.0006441685546566047
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.15112499999999998	0.23527950310559007	0.13597484276729563	0.21143749999999997	0.136875	0.14331250000000004	0.15043478260869564	0.18664596273291922	0.21875776397515526	0.24316770186335407
0.005888282856656943	0.00843806593676606	0.005245448921256111	0.0063155933015038275	0.006817945071647317	0.0037764690850051927	0.005239527132661646	0.005650125900205044	0.0046130297211495995	0.005981788908154723
0.0005888282856656943	0.000843806593676606	0.0005245448921256111	0.0006315593301503828	0.0006817945071647318	0.00037764690850051926	0.0005239527132661646	0.0005650125900205044	0.00046130297211495995	0.0005981788908154724
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
135.82	123.12	137.38	126.17	138.1	137.07	136.78	130.95	125.78	121.85
0.9421252570651102	1.3585286158193357	0.8340263784797216	1.0104949282406122	1.0908712114635715	0.6042350536008317	0.8435638683585257	0.9096702699330126	0.7426977851050857	0.9630680142129111
0.09421252570651102	0.13585286158193358	0.08340263784797217	0.10104949282406121	0.10908712114635714	0.060423505360083174	0.08435638683585257	0.09096702699330125	0.07426977851050856	0.09630680142129111
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
111.55	110.21	86.13	109.92	73.13	89.82	110.88	100.83	121.59	129.38
1.5386682553429119	1.1514773119779649	1.2700787377166818	1.1634431657799191	1.7530259553126992	1.1779643458101776	1.0225458424931373	0.970103087305674	0.8842510955605314	1.037111372997134
0.15386682553429118	0.11514773119779649	0.12700787377166817	0.11634431657799191	0.17530259553126992	0.11779643458101777	0.10225458424931373	0.0970103087305674	0.08842510955605314	0.1037111372997134
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
48.45	50.79	72.87	50.08	86.87	70.18	50.12	60.17	39.41	31.62
1.5386682553429119	1.151477311977965	1.2700787377166818	1.1634431657799191	1.7530259553126992	1.1779643458101776	1.0225458424931373	0.970103087305674	0.8842510955605314	1.037111372997134
0.15386682553429118	0.1151477311977965	0.12700787377166817	0.11634431657799191	0.17530259553126992	0.11779643458101777	0.10225458424931373	0.0970103087305674	0.08842510955605314	0.1037111372997134
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
24.18	37.88	21.62	33.83	21.9	22.93	24.22	30.05	35.22	39.15
0.9421252570651101	1.3585286158193355	0.8340263784797216	1.0104949282406122	1.0908712114635715	0.6042350536008316	0.8435638683585257	0.9096702699330127	0.7426977851050857	0.9630680142129109
0.09421252570651101	0.13585286158193355	0.08340263784797217	0.10104949282406121	0.10908712114635714	0.06042350536008316	0.08435638683585257	0.09096702699330127	0.07426977851050856	0.09630680142129108
