RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8212671874999999	0.7934834690019673	0.772452434634706	0.785526171875	0.768487109375	0.817194140625	0.832803132595193	0.8031046255931483	0.834236140580996	0.8280481077118936
0.00405069393288244	0.0048493436984319805	0.004296206576619881	0.005504513930811873	0.00499613453792478	0.0036086987622399	0.003149583385292306	0.003134577398923597	0.004569570044258408	0.00336671020861895
0.00040506939328824397	0.0004849343698431981	0.00042962065766198804	0.0005504513930811873	0.0004996134537924781	0.00036086987622399	0.0003149583385292306	0.0003134577398923597	0.0004569570044258408	0.000336671020861895
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.8226879713683418	0.8082748201200103	0.7671865636927041	0.8039409464671039	0.7918080633348187	0.82050028768538	0.8372858866647457	0.8017466848596837	0.8185599138315236	0.8367138303513469
0.005721508445283957	0.0057071045223940926	0.004956205305317334	0.006046714102441767	0.005406118511371314	0.004200286409036237	0.004257777631710268	0.004138645787889636	0.006354684828149092	0.004521450612251183
0.0005721508445283958	0.0005707104522394092	0.0004956205305317333	0.0006046714102441767	0.0005406118511371313	0.0004200286409036237	0.0004257777631710268	0.0004138645787889636	0.0006354684828149092	0.0004521450612251183
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.75390625	0.6906211180124224	0.6716981132075469	0.6681875	0.6861250000000001	0.7092500000000002	0.7544409937888197	0.7042857142857144	0.7590372670807455	0.7495962732919252
0.009666054892638467	0.009955148055251386	0.007930515857181438	0.00924260684276898	0.01048920576116228	0.010307006112349016	0.006678896168207254	0.007021381312290317	0.008729912543549118	0.009229978765148509
0.0009666054892638467	0.0009955148055251386	0.0007930515857181438	0.000924260684276898	0.0010489205761162281	0.0010307006112349015	0.0006678896168207254	0.0007021381312290317	0.0008729912543549119	0.0009229978765148509
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7623895842531944	0.7296389351131232	0.7222281212449778	0.7200659248702926	0.7119547074884258	0.7432476276609382	0.7766413711932111	0.7385373479404056	0.7749069465163497	0.7637152669035825
0.009555453621468594	0.008031322353826717	0.0068145921119435685	0.007324817467562859	0.009388937389068146	0.00861469898794154	0.006033533602142666	0.00590134320939687	0.0077638706687087845	0.008661286360762114
0.0009555453621468594	0.0008031322353826717	0.0006814592111943569	0.0007324817467562859	0.0009388937389068145	0.000861469898794154	0.0006033533602142667	0.000590134320939687	0.0007763870668708784	0.0008661286360762113
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.737014614526888	0.6480320074562607	0.6259117705050555	0.6227675594624595	0.6578998941735206	0.6655203570662155	0.7122814950897239	0.6619195097959271	0.7271194778363315	0.7230133552897645
0.00981342865332141	0.009084719123236742	0.006146449449392967	0.007526271362934745	0.009941584538574405	0.009215273960618962	0.006424521358718288	0.006434498354363523	0.009202351522158692	0.009409232562654595
0.000981342865332141	0.0009084719123236742	0.0006146449449392968	0.0007526271362934745	0.0009941584538574405	0.0009215273960618963	0.0006424521358718287	0.0006434498354363523	0.0009202351522158692	0.0009409232562654595
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.7896875	0.8349068322981367	0.8536477987421385	0.8534999999999999	0.7758125000000001	0.8416250000000001	0.8538509316770189	0.8352795031055901	0.8295031055900621	0.8093788819875773
0.013180685443101966	0.011758011697901924	0.010815233028292617	0.011015613918434143	0.012767604268225102	0.011047482744951447	0.008934389138934271	0.00849275261373279	0.00963734201812604	0.011840242845581186
0.0013180685443101967	0.0011758011697901925	0.0010815233028292617	0.0011015613918434143	0.0012767604268225101	0.0011047482744951447	0.0008934389138934272	0.000849275261373279	0.0009637342018126041	0.0011840242845581185
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.281875	0.45366459627329186	0.5102515723270441	0.517125	0.40356249999999994	0.4231249999999999	0.34496894409937895	0.42670807453416143	0.3114285714285714	0.3101863354037267
0.013125	0.01780605709157889	0.011855137378677452	0.015677910415613432	0.016207998604084343	0.015799030824705674	0.010371740948390901	0.011735679271857875	0.013608580839825137	0.013574519596258374
0.0013124999999999999	0.001780605709157889	0.0011855137378677452	0.0015677910415613431	0.0016207998604084342	0.0015799030824705674	0.0010371740948390902	0.0011735679271857875	0.0013608580839825136	0.0013574519596258375
FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR	FNR
0.2103125	0.16509316770186333	0.14635220125786164	0.1465	0.22418750000000004	0.15837500000000002	0.14614906832298133	0.16472049689440993	0.17049689440993787	0.19062111801242235
0.013180685443101964	0.011758011697901912	0.010815233028292615	0.011015613918434142	0.012767604268225107	0.01104748274495145	0.008934389138934297	0.008492752613732779	0.009637342018126027	0.011840242845581177
0.0013180685443101965	0.0011758011697901912	0.0010815233028292615	0.001101561391843414	0.0012767604268225108	0.001104748274495145	0.0008934389138934298	0.0008492752613732779	0.0009637342018126027	0.0011840242845581176
TP	TP	TP	TP	TP	TP	TP	TP	TP	TP
126.35	134.42	135.73	136.56	124.13	134.66	137.47	134.48	133.55	130.31
2.108909670896314	1.8930398833622075	1.719622051498526	1.7624982269494627	2.0428166829160177	1.7675972391922319	1.4384366513684224	1.367333170810977	1.55161206491829	1.9062790981385698
0.21089096708963143	0.18930398833622075	0.1719622051498526	0.17624982269494627	0.20428166829160177	0.17675972391922318	0.14384366513684224	0.1367333170810977	0.15516120649182902	0.19062790981385697
TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
114.9	87.96	77.87	77.26	95.43	92.3	105.46	92.3	110.86	111.06
2.0999999999999996	2.8667751917442006	1.884966843209716	2.508465666498149	2.5932797766534943	2.5278449319529077	1.6698502926909344	1.8894443627691182	2.190981515211847	2.185497654997598
0.20999999999999996	0.2866775191744201	0.1884966843209716	0.25084656664981486	0.25932797766534943	0.2527844931952908	0.16698502926909345	0.18894443627691182	0.21909815152118467	0.21854976549975982
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
45.1	73.04	81.13	82.74	64.57	67.7	55.54	68.7	50.14	49.94
2.1	2.8667751917442006	1.884966843209716	2.508465666498149	2.5932797766534943	2.5278449319529077	1.6698502926909344	1.8894443627691182	2.190981515211847	2.185497654997598
0.21000000000000002	0.2866775191744201	0.1884966843209716	0.25084656664981486	0.25932797766534943	0.2527844931952908	0.16698502926909345	0.18894443627691182	0.21909815152118467	0.21854976549975982
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
33.65	26.58	23.27	23.44	35.87	25.34	23.53	26.52	27.45	30.69
2.108909670896314	1.8930398833622073	1.7196220514985263	1.7624982269494627	2.0428166829160173	1.7675972391922319	1.4384366513684224	1.3673331708109768	1.55161206491829	1.9062790981385702
0.21089096708963143	0.18930398833622072	0.17196220514985264	0.17624982269494627	0.20428166829160171	0.17675972391922318	0.14384366513684224	0.13673331708109768	0.15516120649182902	0.19062790981385702
