SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.8104499999999999	0.7665796072682382	0.7453316720066455	0.7581296875000002	0.7537531249999999	0.7993824218750001	0.770599128120057	0.7546383241387292	0.8153786505150267	0.7376216195362834
0.0037116671979949803	0.005123896732746837	0.005213487966606926	0.0039709765530856825	0.004210631946242601	0.004941610652269461	0.005394663841489107	0.003174387126435281	0.00249864260867144	0.00485887447372472
0.00037116671979949803	0.0005123896732746838	0.0005213487966606925	0.00039709765530856827	0.0004210631946242601	0.000494161065226946	0.0005394663841489107	0.0003174387126435281	0.000249864260867144	0.000485887447372472
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.7945845784361641	0.7867007984617891	0.7507431470365382	0.7713085279883738	0.7632908627185333	0.7916654585760183	0.7634669228803783	0.7801026698519629	0.8109065967539667	0.754342443743625
0.005071878036419685	0.007529986366428364	0.006011593440416293	0.004328472711128225	0.004336413319789308	0.004790833822593071	0.008473809956342076	0.0038650817523222104	0.0032363098609387644	0.004425979534987139
0.0005071878036419685	0.0007529986366428364	0.0006011593440416293	0.0004328472711128225	0.0004336413319789308	0.00047908338225930716	0.0008473809956342076	0.000386508175232221	0.00032363098609387647	0.0004425979534987139
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.74690625	0.6281366459627328	0.6705345911949684	0.6619062500000001	0.694125	0.7420625	0.713385093167702	0.6502795031055902	0.7358074534161488	0.6713975155279502
0.007375198620206785	0.006493877189723421	0.00827055981930452	0.008024559469995845	0.007411983540186794	0.0058198877781276736	0.008798142675168336	0.0072818637132364954	0.005238330504786178	0.009051023659303829
0.0007375198620206784	0.0006493877189723421	0.000827055981930452	0.0008024559469995845	0.0007411983540186794	0.0005819887778127674	0.0008798142675168336	0.0007281863713236496	0.0005238330504786178	0.0009051023659303829
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.7675537778917406	0.7159338144799376	0.7096417992584061	0.7176600371571239	0.7100810034850595	0.7568796030703855	0.7463290445115567	0.7063643942215208	0.7594441381566202	0.7000940537215135
0.006170194528441345	0.004484758872278349	0.006873002936910819	0.0064340877853489445	0.006282460722086899	0.0052569712751888145	0.007911532448504689	0.006815764632616183	0.0048594810448145485	0.00850074535630649
0.0006170194528441345	0.00044847588722783487	0.0006873002936910819	0.0006434087785348945	0.0006282460722086899	0.0005256971275188814	0.0007911532448504688	0.0006815764632616182	0.00048594810448145484	0.000850074535630649
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.7097505714101644	0.5792173560823681	0.6344080348774663	0.6160994484351193	0.6749632659539949	0.7158027878026272	0.6693989648529078	0.6087248287148218	0.6971035184380888	0.6438908587580657
0.007846324871268344	0.004467571969169971	0.007450473956671501	0.006245053624347974	0.008118355771370446	0.006187690828097129	0.0072390774736123325	0.005105887723678173	0.00525575361159178	0.008050420705459489
0.0007846324871268344	0.0004467571969169971	0.0007450473956671501	0.0006245053624347974	0.0008118355771370445	0.0006187690828097129	0.0007239077473612332	0.0005105887723678172	0.000525575361159178	0.0008050420705459488
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.8356875000000001	0.9372049689440992	0.8052201257861639	0.859375	0.7491249999999999	0.8030000000000004	0.8432919254658385	0.8413664596273291	0.8340993788819876	0.7671428571428569
0.008018289639941925	0.008646489239341205	0.010275082044640284	0.009457966219013486	0.007501041594338731	0.006759252917297888	0.011036167748479798	0.011633989704573603	0.008574803548356408	0.012406667106076179
0.0008018289639941925	0.0008646489239341205	0.0010275082044640285	0.0009457966219013486	0.0007501041594338731	0.0006759252917297888	0.0011036167748479798	0.0011633989704573603	0.0008574803548356408	0.001240666710607618
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.341875	0.6809316770186333	0.4641509433962263	0.5355625	0.36087500000000006	0.318875	0.41652173913043483	0.5408074534161491	0.3624844720496895	0.42434782608695654
0.013035408509133877	0.013311502388146717	0.014451729928397552	0.012645867655087965	0.012827582585974644	0.00918473597878567	0.011173911317191266	0.008925748946265804	0.009522369141235677	0.013113682703499772
